,Nome,Tipo,Nível,Descrição,Dano,Chance de Acerto Crítico,Estatísticas,Localização,Preço de Compra,Preço de Venda,Dano médio,Valor por dano
0,Faca de entalhe,adagas,1.0,Lâmina pequena e leve.,1-3,0.04,Chance Crítica  (+2),As Minas  (andares 1-19),,50.0,2.0,
1,Punhal de ferro,adagas,1.0,Uma adaga comum.,2-4,0.03,Chance Crítica  (+2),Guilda dos Aventureiros  (depois de desbloquear o 15º andar das  Minas  )  Baú no 10º andar das  Minas  (com recompensas aleatórias na mina apenas),500.0,50.0,3.0,166.66666666666666
2,Espada de vento,adagas,1.0,Uma pequena e ágil espada.,1-5,0.02,Chance Crítica  (+1)  Ataque Crítico  (+10)  Peso  (+5),As Minas  (andares 21-39)  Baú no 10º andar das  Minas  (com recompensas aleatórias na mina apenas),,50.0,3.0,
3,Espada élfica,adagas,2.0,Só as mãos ágeis de um elfo seriam capazes de criá-la.,3-5,0.04,Chance Crítica  (+2),Baú no 20º andar das  Minas  (com recompensas aleatórias na mina apenas),,100.0,4.0,
4,Adaga de cristal,adagas,4.0,A lâmina é feita de quartzo purificado.,4-10,0.03,Chance Crítica  (+2)  Ataque Crítico  (+50)  Peso  (+5),Baú no 60º andar das  Minas,,200.0,7.0,
5,Espada do ladrão,adagas,4.0,Arma de escolha para os rápidos e silenciosos.,7-12,0.04,Chance Crítica  (+2)  Ataque Crítico  (+25),As Minas  (andares 81+)  Caverna da Caveira  Baú no 60º andar das  Minas  (com recompensas aleatórias na mina apenas),,200.0,9.5,
6,Adaga das sombras,adagas,4.0,"Ao segurar a espada próximo da orelha, você ouve 1.000 almas gritando.",10-20,0.04,Chance Crítica  (+2),As Minas  (andares 61-79 e 101-119)  Baú no 80º andar das  Minas  (com recompensas aleatórias na mina apenas),,200.0,15.0,
7,Tridente quebrado,adagas,5.0,"Veio do mar, mas ainda está pontudo.",15-26,0.02,Chance Crítica  (+1),Baús de Tesouro de Pesca  (Pesca Nível 2+),,250.0,20.5,
8,Espada maligna,adagas,8.0,Lâmina feita com minério de irídio.,24-30,0.06,Chance Crítica  (+4),Caverna da Caveira  Baú no 90º andar das  Minas  (com recompensas aleatórias na mina apenas),,400.0,27.0,
9,Adaga da galáxia,adagas,8.0,Diferente de tudo que você já viu.,30-40,0.02,Velocidade  (+1)  Chance Crítica  (+1)  Peso  (+5),Guilda dos Aventureiros  (após obter a  Espada da galáxia  ),35000.0,400.0,35.0,1000.0
10,Adaga Anã,adagas,11.0,"É antiga, mas a lâmina nunca desgasta.",32-38,0.03,Velocidade  (+1)  Defesa  (+6)  Chance Crítica  (+2)  Peso  (+5),Baús de tesouro comuns na  Caverna do Vulcão,,550.0,35.0,
11,Adaga de Dente de Dragão,adagas,12.0,A lâmina foi forjada de um dente mágico.,40-50,0.05,Chance Crítica  (+3)  Ataque Crítico  (+100)  Peso  (+5),Baús de tesouro raros na  Caverna do Vulcão,,600.0,45.0,
