,Nome,Descrição,Tipo,Ingredientes_item,Ingredientes_qtd,Fonte da Receita,Origem da Receita,Dura Por,Energia,Saúde
0,Anel duro,Corta a duração de efeitos negativos pela metade.,aneis,Barra de cobre,10.0,Combate  nível 1,,,,
0,Anel duro,Corta a duração de efeitos negativos pela metade.,aneis,Quartzo refinado,5.0,Combate  nível 1,,,,
0,Anel duro,Corta a duração de efeitos negativos pela metade.,aneis,Cristal de terra,10.0,Combate  nível 1,,,,
1,Anel de Pedra Luminosa,"Emite uma luz constante, e também aumenta seu alcance de coleta de itens.",aneis,Essência solar,5.0,Mineração  Nível 4,,,,
1,Anel de Pedra Luminosa,"Emite uma luz constante, e também aumenta seu alcance de coleta de itens.",aneis,Barra de ferro,5.0,Mineração  Nível 4,,,,
2,Anel de guerreiro,"Ocasionalmente enche quem o usa de ""energia de guerreiro"" após matar um monstro.",aneis,Barra de ferro,10.0,Combate  nível 4,,,,
2,Anel de guerreiro,"Ocasionalmente enche quem o usa de ""energia de guerreiro"" após matar um monstro.",aneis,Carvão,25.0,Combate  nível 4,,,,
2,Anel de guerreiro,"Ocasionalmente enche quem o usa de ""energia de guerreiro"" após matar um monstro.",aneis,Lágrima congelada,10.0,Combate  nível 4,,,,
3,Anel de Ioba,Protege ocasionalmente quem o usa de dano.,aneis,Barra de ouro,5.0,Combate  nível 7,,,,
3,Anel de Ioba,Protege ocasionalmente quem o usa de dano.,aneis,Barra de ferro,5.0,Combate  nível 7,,,,
3,Anel de Ioba,Protege ocasionalmente quem o usa de dano.,aneis,Diamante,1.0,Combate  nível 7,,,,
4,Anel de irídio,"Brilha, atrai itens, e aumenta dano de ataque em 10%.",aneis,Barra de irídio,5.0,Combate  nível 9,,,,
4,Anel de irídio,"Brilha, atrai itens, e aumenta dano de ataque em 10%.",aneis,Essência solar,50.0,Combate  nível 9,,,,
4,Anel de irídio,"Brilha, atrai itens, e aumenta dano de ataque em 10%.",aneis,Essência nula,50.0,Combate  nível 9,,,,
5,Anel de Casamento,Uma antiga tradição da Cidade de Zuzu... Use para pedir a mão de uma pessoa em casamento.  Nota: apenas  multijogador  .,aneis,Barra de irídio,5.0,Carrinho de Viagem  por  500 ouros,,,,
5,Anel de Casamento,Uma antiga tradição da Cidade de Zuzu... Use para pedir a mão de uma pessoa em casamento.  Nota: apenas  multijogador  .,aneis,Fragmento prismático,1.0,Carrinho de Viagem  por  500 ouros,,,,
6,Aspersor,Rega os quatro espaços adjacentes toda manhã.,aspersores,Barra de cobre,1.0,Cultivo  nível 2,,,,
6,Aspersor,Rega os quatro espaços adjacentes toda manhã.,aspersores,Barra de ferro,1.0,Cultivo  nível 2,,,,
7,Aspersor de qualidade,Rega 8 espaços adjacentes toda manhã.,aspersores,Barra de ferro,1.0,Cultivo  nível 6,,,,
7,Aspersor de qualidade,Rega 8 espaços adjacentes toda manhã.,aspersores,Barra de ouro,1.0,Cultivo  nível 6,,,,
7,Aspersor de qualidade,Rega 8 espaços adjacentes toda manhã.,aspersores,Quartzo refinado,1.0,Cultivo  nível 6,,,,
8,Aspersor de irídio,Rega 24 espaços adjacentes toda manhã.,aspersores,Barra de ouro,1.0,Cultivo  nível 9,,,,
8,Aspersor de irídio,Rega 24 espaços adjacentes toda manhã.,aspersores,Barra de irídio,1.0,Cultivo  nível 9,,,,
8,Aspersor de irídio,Rega 24 espaços adjacentes toda manhã.,aspersores,Conjunto de pilhas,1.0,Cultivo  nível 9,,,,
9,Bombinha,Gera uma pequena explosão. Afaste-se!,bombas,Minério de cobre,4.0,,Mineração  nível 1,,,
9,Bombinha,Gera uma pequena explosão. Afaste-se!,bombas,Carvão,1.0,,Mineração  nível 1,,,
10,Bomba,Gera uma explosão. Cuidado!,bombas,Minério de ferro,4.0,,Mineração  nível 6,,,
10,Bomba,Gera uma explosão. Cuidado!,bombas,Carvão,1.0,,Mineração  nível 6,,,
11,Megabomba,Gera uma explosão poderosa. Utilize com o máximo de cuidado.,bombas,Minério de ouro,4.0,,Mineração  nível 8,,,
11,Megabomba,Gera uma explosão poderosa. Utilize com o máximo de cuidado.,bombas,Essência solar,1.0,,Mineração  nível 8,,,
11,Megabomba,Gera uma explosão poderosa. Utilize com o máximo de cuidado.,bombas,Essência nula,1.0,,Mineração  nível 8,,,
12,Portão,Permite passar por uma cerca.,cercas,Madeira,10.0,Início do jogo,,100 dias,,
13,Cerca de madeira,Retém grama e animais!,cercas,Madeira,2.0,Início do jogo,,46-66 dias,,
14,Cerca de Pedra,Dura mais que uma cerca de madeira.,cercas,Pedra,2.0,Cultivo  nível 2,,110-132 dias,,
15,Cerca de ferro,Dura mais que uma cerca de pedra.,cercas,Barra de ferro,1.0,Cultivo  nível 4,,240-264 dias,,
16,Cerca de madeira de lei,Um tipo especial de madeira. Muito bonita e resistente.,cercas,Madeira de lei,1.0,Cultivo  nível 6,,558-562 dias,,
17,Piso de madeira,Ponha no chão para criar caminhos ou decorá-lo.,decoracao,Madeira,1.0,Carpintaria  por  100 ouros,,,,
18,Piso Rústico de Tábuas,Coloque no chão para criar caminhos ou para decorá-los.,decoracao,Madeira,1.0,Carpintaria  por  200 ouros,,,,
19,Piso de palha,Ponha no chão para criar caminhos ou incrementá-lo.,decoracao,Madeira,1.0,Carpintaria  por  200 ouros,,,,
19,Piso de palha,Ponha no chão para criar caminhos ou incrementá-lo.,decoracao,Fibra,1.0,Carpintaria  por  200 ouros,,,,
20,Piso desgastado,Ponha no chão para criar caminhos ou incrementá-lo.,decoracao,Madeira,1.0,Anão  (  500 ouros  ),,,,
21,Piso de cristal  (5),Ponha no chão para criar caminhos ou incrementá-lo.,decoracao,Quartzo refinado,1.0,Krobus  (  500 ouros  ),,,,
22,Piso de pedra,Ponha no chão para criar caminhos ou incrementá-lo.,decoracao,Pedra,1.0,Carpintaria  por  100 ouros,,,,
23,Piso Passarela de Pedra,Coloque no chão para criar caminhos ou para decorá-los.,decoracao,Pedra,1.0,Carpintaria  por  200 ouros,,,,
24,Piso de tijolo  (5),Ponha no chão para criar caminhos ou decorá-lo.,decoracao,Argila,2.0,Carpintaria  por  500 ouros,,,,
24,Piso de tijolo  (5),Ponha no chão para criar caminhos ou decorá-lo.,decoracao,Pedra,5.0,Carpintaria  por  500 ouros,,,,
25,Caminho de madeira,Ponha no chão para criar caminhos ou incrementá-lo.,decoracao,Madeira,1.0,Início,,,,
26,Caminho de cascalho,Ponha no chão para criar caminhos ou incrementá-lo.,decoracao,Pedra,1.0,Início,,,,
27,Caminho de pedra arredondada,Ponha no chão para criar caminhos ou incrementá-lo.,decoracao,Pedra,1.0,Início,,,,
28,Caminho de Pedras Polidas,Ponha no chão para criar caminhos e incrementá-lo.,decoracao,Pedra,1.0,Carpintaria  por  100 ouros,,,,
29,Caminho de cristal  (5),Ponha no chão para criar caminhos ou incrementá-lo.,decoracao,Quartzo refinado,1.0,Carpintaria  por  200 ouros,,,,
30,Baú,Feito para armazenar seus itens.,diversos,Madeira,50.0,Início do jogo,,,,
31,Placa de Madeira,Use um item nele para mudar o que é exibido. O item não será consumido.,diversos,Madeira,25.0,Início do jogo,,,,
32,Placa de Pedra,Use um item nele para mudar o que é exibido. O item não será consumido.,diversos,Pedra,25.0,Início do jogo,,,,
33,Vaso de Jardim,"Crie plantações de qualquer estação em ambientes fechados. Ao ar livre, só pode abrigar plantações sazonais.",diversos,Argila,1.0,Cinemática com a  Evelyn  depois de completar a  estufa  .,,,,
33,Vaso de Jardim,"Crie plantações de qualquer estação em ambientes fechados. Ao ar livre, só pode abrigar plantações sazonais.",diversos,Pedra,10.0,Cinemática com a  Evelyn  depois de completar a  estufa  .,,,,
33,Vaso de Jardim,"Crie plantações de qualquer estação em ambientes fechados. Ao ar livre, só pode abrigar plantações sazonais.",diversos,Quartzo refinado,1.0,Cinemática com a  Evelyn  depois de completar a  estufa  .,,,,
