,Dia,Mes,Evento,Nome
0,4,0.primavera,aniversario,Kent  (Apartir do ano 2)
1,7,0.primavera,aniversario,Lewis
2,10,0.primavera,aniversario,Vincent
3,14,0.primavera,aniversario,Haley
4,18,0.primavera,aniversario,Pam
5,20,0.primavera,aniversario,Shane
6,26,0.primavera,aniversario,Pierre
7,27,0.primavera,aniversario,Emily
8,13,0.0.primavera,festivais,Festival do Ovo
9,"15, 16 e 17",0.0.primavera,festivais,Festival do Deserto
10,24,0.0.primavera,festivais,Dança das Flores
11,4,1.0.verao,aniversario,Jas
12,8,1.0.verao,aniversario,Gus
13,10,1.0.verao,aniversario,Maru
14,13,1.0.verao,aniversario,Alex
15,17,1.0.verao,aniversario,Sam
16,19,1.0.verao,aniversario,Demetrius
17,22,1.0.verao,aniversario,Anão
18,24,1.0.verao,aniversario,Willy
19,26,1.0.verao,aniversario,Leo
20,11,1.0.verao,festivais,Luau
21,20-21,1.0.verao,festivais,Competição de Truta
22,28,1.0.verao,festivais,Dança das Medusas-da-Lua
23,2,1.0.outono,aniversario,Penny
24,5,1.0.outono,aniversario,Elliott
25,11,1.0.outono,aniversario,Jodi
26,13,1.0.outono,aniversario,Abigail
27,15,1.0.outono,aniversario,Sandy
28,18,1.0.outono,aniversario,Marnie
29,21,1.0.outono,aniversario,Robin
30,24,1.0.outono,aniversario,George
31,16,1.0.outono,festivais,Feira do Vale do Orvalho
32,27,1.0.outono,festivais,Véspera dos Espíritos
33,1,2.0.inverno,aniversario,Krobus
34,3,2.0.inverno,aniversario,Linus
35,7,2.0.inverno,aniversario,Caroline
36,10,2.0.inverno,aniversario,Sebastian
37,14,2.0.inverno,aniversario,Harvey
38,17,2.0.inverno,aniversario,Feiticeiro
39,20,2.0.inverno,aniversario,Evelyn
40,23,2.0.inverno,aniversario,Leah
41,26,2.0.inverno,aniversario,Clint
42,08,2.0.inverno,festivais,Festival do Gelo
43,15-17,2.0.inverno,festivais,Mercado Noturno
44,25,2.0.inverno,festivais,Festival da Estrela Invernal
