,Conjunto,Requisitos,Descrição_requisitos,Recompensa
0,Conjunto 2.500 ouros,2 500 ouros,2 500 ouros,Bolo de chocolate  (3)
1,Conjunto 5.000 ouros,5 000 ouros,5 000 ouros,Fertilizante de qualidade  (30)
2,Conjunto 10.000 ouros,10 000 ouros,10 000 ouros,Para-raios  (1)
3,Conjunto 25.000 ouros,25 000 ouros,25 000 ouros,Cristalário  (1)
4,Conjunto A Desaparecida.2,Vinho  (Qualidade Prata),Barril de madeira,
5,Conjunto A Desaparecida.2,Maionese de Dinossauro,Máquina de maionese,
6,Conjunto A Desaparecida.2,Fragmento prismático,Minas  e  Caverna da Caveira,
7,Conjunto A Desaparecida.2,Fruta antiga  (5) (Qualidade Ouro),Plantação,
8,Conjunto A Desaparecida.2,,,
9,Conjunto A Desaparecida.2,,,
10,Conjunto Animal.2,Leite grande,Vacas,Prensa de queijo  (1)
11,Conjunto Animal.2,Ovo grande marrom,Galinhas,Prensa de queijo  (1)
12,Conjunto Animal.2,Ovo grande,Galinhas,Prensa de queijo  (1)
13,Conjunto Animal.2,Leite grande de cabra,Cabras,Prensa de queijo  (1)
14,Conjunto Animal.2,Lã,"Ovelha  ,  Coelhos",Prensa de queijo  (1)
15,Conjunto Animal.2,Ovo de pata,Patos,Prensa de queijo  (1)
16,Conjunto Animal.2,Prensa de queijo  (1),Prensa de queijo  (1),Prensa de queijo  (1)
17,Conjunto Artesão,Óleo de trufas  (1),Feito a partir de  Trufas  usando um  Gerador de óleo,Barril  (1)
18,Conjunto Artesão,Tecido,"Tear  ,  Reciclando  um  Jornal ensopado",Barril  (1)
19,Conjunto Artesão,Queijo de cabra,Prensa de queijo,Barril  (1)
20,Conjunto Artesão,Queijo,Prensa de queijo,Barril  (1)
21,Conjunto Artesão,Mel,Apiário,Barril  (1)
22,Conjunto Artesão,Geléia,Jarra de conserva,Barril  (1)
23,Conjunto Artesão,Maçã,"Obtida pelas  Macieiras  no  Outono  ,  na Caverna da Fazenda  (opção de Morcegos de Fruta)",Barril  (1)
24,Conjunto Artesão,Damasco,"Obtidas pelos  Damasqueiros  na  Primavera  ,  na Caverna da Fazenda  (opção de Morcegos de Fruta)",Barril  (1)
25,Conjunto Artesão,Laranja,"Obtida pelas  Laranjeiras  no  Verão  ,  na Caverna da Fazenda  (opção de Morcegos de Fruta)",Barril  (1)
26,Conjunto Artesão,Pêssego,"Obtido pelos  Pessegueiros  no  Verão  ,  na Caverna da Fazenda  (opção de Morcegos de Fruta)",Barril  (1)
27,Conjunto Artesão,Romã,"Obtida pelas  Romãzeiras  no  Outono  ,  na Caverna da Fazenda  (opção de Morcegos de Fruta)",Barril  (1)
28,Conjunto Artesão,Cereja,"Obtido pelas  Cerejeiras  na  Primavera  ,  na Caverna da Fazenda  (opção de Morcegos de Fruta)",Barril  (1)
29,Conjunto Artesão,Barril  (1),Barril  (1),Barril  (1)
30,Conjunto de Aventureiro,Gosma  (99),Deixada por  Gosmas  .,Pequeno anel com ímã  (1)
31,Conjunto de Aventureiro,Asa de morcego  (10),Deixadas por  Morcegos  nas  Minas  .,Pequeno anel com ímã  (1)
32,Conjunto de Aventureiro,Essência solar,"Deixada por  Fantasmas  ,  Faces  ou  Cabeças de metal  nas  Minas  , deixada por  Múmias  na  Caverna da Caveira  .",Pequeno anel com ímã  (1)
33,Conjunto de Aventureiro,Essência nula,Deixada por  Brutos das sombras  nas  Minas  ou  Serpentes  na  Caverna da Caveira  .,Pequeno anel com ímã  (1)
34,Conjunto de Aventureiro,Pequeno anel com ímã  (1),Pequeno anel com ímã  (1),Pequeno anel com ímã  (1)
35,Conjunto Construção,Madeira  (99),Corte  Árvores  ou galhos com um  Machado  .,Carvoaria  (1)
36,Conjunto Construção,Madeira  (99),Corte  Árvores  ou galhos com um  Machado  .,Carvoaria  (1)
37,Conjunto Construção,Pedra  (99),Quebre pedras com uma  Picareta  .,Carvoaria  (1)
38,Conjunto Construção,Madeira de lei  (10),"Corte  Tocos Grandes  ou  Troncos Grandes  com um  Machado  melhorado, quebre caixas nas  Minas  .",Carvoaria  (1)
39,Conjunto Construção,Carvoaria  (1),Carvoaria  (1),Carvoaria  (1)
40,Conjunto de Cozinheiro,Xarope de ácer,Extraia  de um  Ácer  .,Bolo rosa  (3)
41,Conjunto de Cozinheiro,Broto de samambaia,Colete  durante o  Verão  no  Bosque Secreto  .,Bolo rosa  (3)
42,Conjunto de Cozinheiro,Trufa,Porcos,Bolo rosa  (3)
43,Conjunto de Cozinheiro,Papoula,Plantações  de  Verão  .,Bolo rosa  (3)
44,Conjunto de Cozinheiro,Rolinhos de arroz,Culinária  (receita necessária),Bolo rosa  (3)
45,Conjunto de Cozinheiro,Ovo frito,Culinária,Bolo rosa  (3)
46,Conjunto de Cozinheiro,Bolo rosa  (3),Bolo rosa  (3),Bolo rosa  (3)
47,Conjunto de Encantador,Resina de carvalho,Extraia  de um  Carvalho  .,Barra de ouro  (5)
48,Conjunto de Encantador,Vinho,Barril,Barra de ouro  (5)
49,Conjunto de Encantador,Pé de coelho,"Coelhos  , deixado por  Serpentes  na  Caverna da Caveira  .",Barra de ouro  (5)
50,Conjunto de Encantador,Romã,"Obtida pelas  Romãzeiras  no  Outono  ,  na Caverna da Fazenda  (opção de Morcegos de Fruta)",Barra de ouro  (5)
51,Conjunto de Encantador,Barra de ouro  (5),Barra de ouro  (5),Barra de ouro  (5)
52,Conjunto de Ferreiro,Barra de cobre,Derretendo  Minérios de cobre  numa  Fornalha  .,Fornalha  (1)
53,Conjunto de Ferreiro,Barra de ferro,"Derretendo  Minérios de ferro  numa  Fornalha  ;  Criando  com a receita ""Transmutar (Fe)"".",Fornalha  (1)
54,Conjunto de Ferreiro,Barra de ouro,"Derretendo  Minérios de ouro  numa  Fornalha  ;  Criando  com a receita ""Transmutar (Au)"".",Fornalha  (1)
55,Conjunto de Ferreiro,Fornalha  (1),Fornalha  (1),Fornalha  (1)
56,Conjunto Forragem,Trigo  (10),Plantações  de  Verão  /  Outono  .,Aquecedor  (1)
57,Conjunto Forragem,Palha  (10),"Comprada no  Rancho da Marnie  , corte grama com uma  Foice  , após comprar um  Silo",Aquecedor  (1)
58,Conjunto Forragem,Maçã  (3),Obtida de  Macieiras  durante o  Outono  .,Aquecedor  (1)
59,Conjunto Forragem,Aquecedor  (1),Aquecedor  (1),Aquecedor  (1)
60,Conjunto de Geólogo,Quartzo,Colete  em todos os andares das  Minas  .,Omnigeodo  (5)
61,Conjunto de Geólogo,Cristal de terra,"Colete  nos andares 1-39 das  Minas  ,  Geodos  , deixado por  Cavadores  nas Minas (andares 1-29)",Omnigeodo  (5)
62,Conjunto de Geólogo,Lágrima congelada,"Colete  nos andares 40-79 das  Minas  ,  Geodos congelados  , deixado por  Espíritos da Poeira  (andares 40-80)",Omnigeodo  (5)
63,Conjunto de Geólogo,Quartzo de fogo,"Colete  nos andares 80-120 das  Minas  ,  Geodos de Magma  ,  Omnigeodo",Omnigeodo  (5)
64,Conjunto de Geólogo,Omnigeodo  (5),Omnigeodo  (5),Omnigeodo  (5)
65,Conjunto Recursos de Primavera,Raiz-forte,Colete  durante a  Primavera  .,Sementes de primavera  (30)
66,Conjunto Recursos de Primavera,Narciso,"Colete  durante a  Primavera  , compre do  Pierre  durante a  Dança das Flores  .",Sementes de primavera  (30)
67,Conjunto Recursos de Primavera,Alho-poró,Colete  durante a  Primavera  .,Sementes de primavera  (30)
68,Conjunto Recursos de Primavera,Dente-de-leão,"Colete  durante a  Primavera  , compre do  Pierre  durante a  Dança das Flores  .",Sementes de primavera  (30)
69,Conjunto Recursos de Primavera,Sementes de primavera  (30),Sementes de primavera  (30),Sementes de primavera  (30)
70,Conjunto Recursos de Verão.1,"Colete  durante o  Verão  , cultive durante o verão",,Sementes de verão  (30)
71,Conjunto Recursos de Verão.1,"Colete  durante o  Verão  ,  A Caverna da Fazenda  (opção de Morcegos de Fruta)",,Sementes de verão  (30)
72,Conjunto Recursos de Verão.1,Colete  durante o  Verão  .,,Sementes de verão  (30)
73,Conjunto Recursos de Verão.1,Sementes de verão  (30),Sementes de verão  (30),Sementes de verão  (30)
