,Unnamed: 0,Aldeão,Aniversário,Ama  (+80),Gosta (+45),Neutro (+20),Não Gosta (-20),Odeia  (-40)
0,0,Universais,,Abóbora dourada  Doce-Pedra Mágico  Fragmento prismático  Pé de coelho  Pérola,"Todas as  Flores  (exceto  Papoula  )  Todas as  Frutas de árvores frutíferas  Todas as  Gemas  Todos as  Mercadorias Artesanais  (exceto  Óleo  e  Maionese nula  )  Todos os  Minerais de Coleta  (exceto  Quartzo  )  Todos os  Pratos cozidos  (exceto  Ovo frito  ,  Pão  ,  Pão estranho  e  Pudim de espuma do mar  )  Todos os  Vegetais  (exceto  Arroz não moído  ,  Folhas de Chá  ,  Lúpulo  e  Trigo  )  Elixir da vida  Piña Colada  Xarope de ácer",Cereja de Joia  Doce  Concha  Concha arco-íris  Concha de náutilo  Coral  Folhas de Chá  Lã  Lúpulo  Ovas  Ovo frito  Pão  Pena de pato  Tinta de Lula  Trigo  Trufa,Veja  Desgostos Universais,Veja  Ódios Universais
1,1,Alex,Verão  13,Café da manhã  completo  Jantar de salmão,Todos os Ovos  (exceto  Ovo nulo  ),Todos os Cogumelos  (exceto  vermelho  )  Todas as  Frutas  (exceto  Amora-silvestre  e  Frutas de árvores frutíferas  )  Todos os Leites  Alho-poró  Avelã  Dente-de-leão  Gengibre  Inhame de neve  Narciso  Raiz de inverno,Amora-silvestre  Raiz-forte,Azevinho  Quartzo
2,2,Elliott,Outono  5,Bolinhos de  caranguejo  Lagosta  Pena de pato  Romã  Sopa Tom Kha  Tinta de Lula,Todas as  Frutas  (exceto  Romã  e  Amora-silvestre  )  Lula  Polvo,"Todos os Ovos  (exceto  Ovo nulo  )  Todos os  Peixes  (exceto  Carpa  ,  Lagosta  ,  Lesma  ,  Lula  ,  Pepino-do-mar  e  Polvo  )",Todos os Cogumelos  (exceto  vermelho  )  Todos os Leites  Alho-poró  Avelã  Azevinho  Dente-de-leão  Gengibre  Inhame de neve  Narciso  Pizza  Raiz-forte  Raiz de inverno,Amaranto  Amora-silvestre  Pepino-do-mar  Quartzo
3,3,Harvey,Inverno  14,Café  Óleo de trufas  Picles  Superprato  Vinho,Todos os Cogumelos  (exceto  vermelho  )  Todas as  Frutas  (exceto  Amora-silvestre  e  Café de jardim  )  Alho-poró  Avelã  Azevinho  Cebolinha  Dente-de-leão  Gengibre  Inhame de neve  Leite de cabra  Leite grande de cabra  Narciso  Ovo de pata  Pena de pato  Quartzo  Raiz-forte  Raiz de inverno,Todos os Ovos  (exceto  Ovo de pata  e  Ovo nulo  )  Leite  Leite grande,Batata-palha  Biscoitos  Bolo de chocolate  Bolo rosa  Cogumelo frito  Inhames com  cobertura  Molho de oxicoco  Panquecas  Pão  Pizza  Pudim de arroz  Queijo  Queijo de cabra  Sorvete  Torta de Mirtilo  Torta de ruibarbo,Amora-silvestre  Café de jardim  Concha arco-íris  Concha de náutilo  Coral
4,4,Sam,Verão  17,Fruto do cacto  Olho de tigre  Pão de ácer  Pizza,Todos os Ovos  (exceto  Ovo nulo  )  Joja-Cola,"Todas as  Frutas  (exceto  Amora-silvestre  ,  Frutas de árvores frutíferas  e  Fruto do cacto  )  Todos os Leites","Todos os Cogumelos  (exceto  vermelho  )  Todos os  Vegetais  (exceto  Folhas de Chá  ,  Lúpulo  e  Trigo  )  Algas marinhas  Alho-poró  Amora-silvestre  Avelã  Azevinho  Dente-de-leão  Gengibre  Inhame de neve  Narciso  Quartzo  Raiz-forte  Raiz de inverno",Barra de cobre  Barra de ferro  Barra de irídio  Barra de ouro  Carvão  Maionese  Maionese de ovo  de pato  Minério de irídio  Minério de ouro  Picles  Quartzo refinado
5,5,Sebastian,Inverno  10,Lágrima congelada  Obsidiana  Ovo nulo  Sashimi  Sopa de abóbora,Linguado  Quartzo,"Todas as  Frutas  (exceto  Amora-silvestre  e  Frutas de árvores frutíferas  )  Todos os Leites  Todos os  Peixes  (exceto  Carpa  ,  Lesma  e  Linguado  )",Todos os Cogumelos  (exceto  vermelho  )  Todas as  Flores  (exceto  Papoula  )  Alho-poró  Amora-silvestre  Avelã  Azevinho  Dente-de-leão  Gengibre  Inhame de neve  Narciso  Raiz-forte  Raiz de inverno,"Todos as  Mercadorias Artesanais  (exceto  Café  ,  Chá Verde  e  Óleo  )  Todos os Ovos  (exceto  Ovo nulo  )  Almoço de  fazendeiro  Argila  Café da manhã  completo  Omelete  Piña Colada"
6,6,Shane,Primavera  20,Cerveja  Enroladinhos de  pimenta  Pimenta quente  Pizza,Todas as  Frutas  (exceto  Pimenta quente  )  Todos os Ovos  (exceto  Ovo nulo  ),Todos os Leites,Todos os Cogumelos  (exceto  vermelho  )  Algas marinhas  Alho-poró  Avelã  Azevinho  Dente-de-leão  Gengibre  Inhame de neve  Narciso  Raiz-forte  Raiz de inverno,Picles  Quartzo
7,7,Abigail,Outono  13,Abóbora  Ametista  Baiacu  Bolo de chocolate  Enguia picante  Mexido de amoras  Pudim de Banana,Quartzo,Todos os Cogumelos  (exceto  vermelho  )  Todos os Leites  Alho-poró  Avelã  Dente-de-leão  Gengibre  Inhame de neve  Narciso  Raiz de inverno,"Todas as  Frutas  (exceto  Frutas de árvores frutíferas  )  Todos os Ovos  Todos os  Vegetais  (exceto  Abóbora  ,  Folhas de Chá  ,  Lúpulo  e  Trigo  )  Açúcar  Raiz-forte",Argila  Azevinho
8,8,Emily,Primavera  27,Água-marinha  Ametista  Esmeralda  Hambúrguer de  sobreviência  Jade  Lã  Rubi  Tecido  Topázio,Narciso  Quartzo,Todos os Cogumelos  (exceto  vermelho  )  Todas as  Frutas  (exceto  Amora-silvestre  e  Frutas de árvores frutíferas  )  Todos os Leites  Todos os Ovos  (exceto  Ovo nulo  )  Alho-poró  Avelã  Dente-de-leão  Gengibre  Inhame de neve  Raiz-forte  Raiz de inverno,Amora-silvestre  Enguia frita  Enguia picante  Pudim de arroz  Sorvete,Azevinho  Jantar de salmão  Rolinhos de arroz  Sashimi  Taco de peixe
9,9,Haley,Primavera  14,Bolo rosa  Coco  Girassol  Salada de frutas,Narciso,,"Todos os Cogumelos  (exceto  vermelho  )  Todas as  Frutas  (exceto  Coco  )  Todos os Leites  Todos os Ovos  Todos os  Vegetais  (exceto  Folhas de Chá  ,  Lúpulo  e  Trigo  )  Alho-poró  Avelã  Azevinho  Dente-de-leão  Gengibre  Inhame de neve  Quartzo  Raiz de inverno",Todos os  Peixes  Argila  Fragmento  prismático  Raiz-forte
10,10,Leah,Inverno  23,Bolinho de papoula  Mexido de legumes  Queijo de cabra  Refogado  Salada  Trufa  Vinho,Todos os Cogumelos  (exceto  vermelho  )  Todas as  Frutas  Todos os Leites  Todos os Ovos  (exceto  Ovo nulo  )  Alho-poró  Avelã  Azevinho  Cebolinha  Dente-de-leão  Gengibre  Inhame de neve  Madeira do mar  Narciso  Raiz-forte  Raiz de inverno,,Todas as  Gemas  (exceto  Diamante  e  Fragmento prismático  )  Todos os  Minerais de coleta  (exceto  Cristal de terra  )  Algas marinhas  Biscoitos  Bolo rosa  Carpa-surpresa  Hambúrguer de  sobreviência  Ovo frito  Pudim de arroz  Sorvete  Tortilha,Batata-palha  Ovo nulo  Panquecas  Pão  Pizza
11,11,Maru,Verão  10,Barra de irídio  Barra de ouro  Barra Radioativa  Conjunto de pilhas  Couve-flor  Couve-flor com queijo  Diamante  Enroladinhos de  pimenta  Morango  Refeição de mineiro  Torta de ruibarbo,Alcatrão de pinho  Barra de cobre  Barra de ferro  Minério Radioativo  Quartzo  Resina de carvalho,"Todos os Cogumelos  (exceto  comum  e  vermelho  )  Todas as  Frutas  (exceto  Amora  ,  Amora-silvestre  ,  Fruta de cristal  ,  Frutas de árvores frutíferas  e  Morango  )  Todos os Leites  Todos os Ovos  (exceto  Ovo nulo  )  Alho-poró  Avelã  Dente-de-leão  Gengibre  Narciso  Raiz-forte  Raiz de inverno",Amora  Amora-silvestre  Cogumelo comum  Fruta de cristal  Xarope de ácer,Azevinho  Inhame de neve  Mel  Picles  Trufa
12,12,Penny,Outono  2,Areinha  Bolinho de papoula  Diamante  Esmeralda  Melão  Papoula  Prato de raízes  Prato vermelho  Sopa Tom Kha,Todos os  Artefatos  Todos os Leites  Alho-poró  Dente-de-leão,"Todos os Cogumelos  (exceto  roxo  e  vermelho  )  Todas as  Frutas  (exceto  Amora-silvestre  ,  Frutas de árvores frutíferas  ,  Melão  e  Uva  )  Todos os Ovos  (exceto  Ovo nulo  )  Avelã  Gengibre  Inhame de neve  Narciso  Raiz-forte  Raiz de inverno",Amora-silvestre  Caldo pálido  Cogumelo roxo  Cogumelo vermelho  Lã  Pena de pato  Quartzo  Sopa de alga,Azevinho  Cerveja  Hidromel  Lúpulo  Pale Ale  Pé de coelho  Piña Colada  Uva  Vinho
13,13,Anão,Verão  22,Água-marinha  Ametista  Esmeralda  Jade  Omnigeodo  Pedra de limão  Rubi  Topázio,Todos os  Artefatos  Cenoura subterrânea  Quartzo,Todas as  Frutas  (exceto  Amora-silvestre  e  Frutas de árvores frutíferas  )  Essência nula  Essência solar,Todos os Cogumelos  (exceto  vermelho  )  Todos os Leites  Todos os Ovos  Alho-poró  Amora-silvestre  Avelã  Azevinho  Dente-de-leão  Gengibre  Inhame de neve  Narciso  Raiz-forte  Raiz de inverno,
14,14,Caroline,Inverno  7,Chá Verde  Curry Tropical  Flor-Miçanga  Taco de peixe,Folhas de Chá  Narciso,Todas as  Frutas  (exceto  Amora-silvestre  e  Frutas de árvores frutíferas  )  Todos os Leites  Todos os Ovos  (exceto  Ovo nulo  ),Todos os Cogumelos  (exceto  vermelho  )  Alho-poró  Amaranto  Avelã  Azevinho  Dente-de-leão  Gengibre  Inhame de neve  Maionese  Maionese de ovo  de pato  Raiz-forte  Raiz de inverno,Amora-silvestre  Quartzo
15,15,Clint,Inverno  26,Água-marinha  Ametista  Barra de irídio  Barra de ouro  Esmeralda  Jade  Molho de alcachofra  Omnigeodo  Risoto de samambaia  Rubi  Topázio,Barra de cobre  Barra de ferro,Todos os Cogumelos  (exceto  vermelho  )  Todas as  Frutas  (exceto  Amora-silvestre  e  Frutas de árvores frutíferas  )  Todos os Leites  Todos os Ovos  (exceto  Ovo nulo  )  Alho-poró  Avelã  Carvão  Dente-de-leão  Gengibre  Inhame de neve  Minério de irídio  Minério de ouro  Narciso  Quartzo refinado  Raiz de inverno,Todas as  Flores  (exceto  Papoula  )  Amora-silvestre  Quartzo  Raiz-forte,Azevinho
16,16,Demetrius,Verão  19,Morango  Pote de feijão  Pudim de arroz  Sorvete,Todas as  Frutas  (exceto  Morango  )  Todos os Ovos  (exceto  Ovo nulo  )  Cogumelo roxo,Todos os Cogumelos  (exceto  roxo  e  vermelho  )  Todos os Leites  Todos os  Peixes  (exceto  Carpa  e  Lesma  )  Alho-poró  Avelã  Dente-de-leão  Gengibre  Inhame de neve  Narciso  Raiz-forte  Raiz de inverno,Quartzo,Azevinho
17,17,Evelyn,Inverno  20,Beterraba  Bolo de chocolate  Diamante  Recheio  Rosa-de-fada  Tulipa,Todos os Leites  Narciso,"Todos os Cogumelos  (exceto  vermelho  )  Todas as  Frutas  (exceto  Amora-silvestre  ,  Café de jardim  e  Frutas de árvores frutíferas  )  Todos os Ovos  (exceto  Ovo nulo  )  Alho-poró  Avelã  Dente-de-leão  Gengibre  Inhame de neve  Raiz de inverno",Quartzo  Raiz-forte,Todos os  Peixes  Alho  Amora-silvestre  Argila  Azevinho  Café de jardim  Concha  Coral  Enguia frita  Enguia picante  Rolinhos de arroz  Sashimi  Sopa de truta
18,18,Feiticeiro,Inverno  17,Cogumelo roxo  Essência nula  Essência solar  Superpepino,Todos os  Minerais de Geodos  Quartzo,Todas as  Frutas  (exceto  Amora-silvestre  e  Frutas de árvores frutíferas  ),Todos os Cogumelos  (exceto  roxo  e  vermelho  )  Todos os Leites  Todos os Ovos  Alho-poró  Amora-silvestre  Avelã  Azevinho  Dente-de-leão  Gengibre  Gosma  Inhame de neve  Narciso  Raiz-forte  Raiz de inverno,
19,19,George,Outono  24,Alho-poró  Cogumelo frito,Narciso,Todos os Cogumelos  (exceto  vermelho  )  Todas as  Frutas  (exceto  Amora-silvestre  e  Frutas de árvores frutíferas  )  Todos os Leites  Todos os Ovos  (exceto  Ovo nulo  )  Avelã  Gengibre  Inhame de neve  Raiz de inverno,Todas as  Flores  (exceto  Papoula  )  Amora-silvestre  Raiz-forte,Argila  Azevinho  Dente-de-leão  Quartzo
20,20,Gus,Verão  8,Curry Tropical  Diamante  Escargô  Laranja  Taco de peixe,Narciso,Todos os Cogumelos  (exceto  vermelho  )  Todas as  Frutas  (exceto  Amora-silvestre  e  Frutas de árvores frutíferas  )  Todos os Leites  Todos os Ovos  (exceto  Ovo nulo  )  Alho-poró  Avelã  Dente-de-leão  Gengibre  Inhame de neve  Raiz de inverno,Amora-silvestre  Raiz-forte,Azevinho  Quartzo  Salada de repolho
