,Nome,Descrição,Fonte da Receita,Ingredientes_item,Ingredientes_qtd
0,Apiário,Ponha-o no quintal e obtenha um mel delicioso! (Exceto no inverno).,Cultivo  Nível 3,Madeira,40
0,Apiário,Ponha-o no quintal e obtenha um mel delicioso! (Exceto no inverno).,Cultivo  Nível 3,Carvão,8
0,Apiário,Ponha-o no quintal e obtenha um mel delicioso! (Exceto no inverno).,Cultivo  Nível 3,Barra de ferro,1
0,Apiário,Ponha-o no quintal e obtenha um mel delicioso! (Exceto no inverno).,Cultivo  Nível 3,Xarope de ácer,1
1,Barril de madeira,Use na adega para envelhecer produtos como vinho e queijo.,Casa da Fazenda  atualização da adega,Madeira,20
1,Barril de madeira,Use na adega para envelhecer produtos como vinho e queijo.,Casa da Fazenda  atualização da adega,Madeira de lei,1
2,Barril,Ponha uma fruta ou vegetal aqui. Uma hora ele vai se transformar numa bebida.,Cultivo  Nível 8,Madeira,30
2,Barril,Ponha uma fruta ou vegetal aqui. Uma hora ele vai se transformar numa bebida.,Cultivo  Nível 8,Barra de cobre,1
2,Barril,Ponha uma fruta ou vegetal aqui. Uma hora ele vai se transformar numa bebida.,Cultivo  Nível 8,Barra de ferro,1
2,Barril,Ponha uma fruta ou vegetal aqui. Uma hora ele vai se transformar numa bebida.,Cultivo  Nível 8,Resina de carvalho,1
3,Gerador de óleo,Faz óleo gourmet de trufas.,Cultivo  Nível 8,Gosma,50
3,Gerador de óleo,Faz óleo gourmet de trufas.,Cultivo  Nível 8,Madeira de lei,20
3,Gerador de óleo,Faz óleo gourmet de trufas.,Cultivo  Nível 8,Barra de ouro,1
4,Jarra de conserva,Transforma legumes em picles e frutas em geléia.,Cultivo  Nível 4,Madeira,50
4,Jarra de conserva,Transforma legumes em picles e frutas em geléia.,Cultivo  Nível 4,Pedra,40
4,Jarra de conserva,Transforma legumes em picles e frutas em geléia.,Cultivo  Nível 4,Carvão,8
5,Prensa de queijo,Transforma leite em queijo.,Cultivo  Nível 6,Madeira,45
5,Prensa de queijo,Transforma leite em queijo.,Cultivo  Nível 6,Pedra,45
5,Prensa de queijo,Transforma leite em queijo.,Cultivo  Nível 6,Madeira de lei,10
5,Prensa de queijo,Transforma leite em queijo.,Cultivo  Nível 6,Barra de cobre,1
6,Máquina de maionese,Transforma ovos em maionese.,Cultivo  Nível 2,Madeira,15
6,Máquina de maionese,Transforma ovos em maionese.,Cultivo  Nível 2,Pedra,15
6,Máquina de maionese,Transforma ovos em maionese.,Cultivo  Nível 2,Cristal de terra,1
6,Máquina de maionese,Transforma ovos em maionese.,Cultivo  Nível 2,Barra de cobre,1
7,Tear,Transforma lã crua em roupas finas.,Cultivo  Nível 7,Madeira,60
7,Tear,Transforma lã crua em roupas finas.,Cultivo  Nível 7,Fibra,30
7,Tear,Transforma lã crua em roupas finas.,Cultivo  Nível 7,Alcatrão de pinho,1
