,Nome,Loja,Preço,Tipo,Dia,Anos,Tamanho,valor,moeda
0,Aquário Pequeno,peixaria(ouros),500 ouros,aquarios,,,,500,ouros
1,Aquário Moderno,peixaria(ouros),500 ouros,aquarios,,,,500,ouros
2,Aquário Grande,peixaria(ouros),2 000 ouros,aquarios,,,,2,000
3,Aquário de Luxo,peixaria(ouros),5 000 ouros,aquarios,,,,5,000
4,Santuário Aquático,peixaria(ouros),,aquarios,,,,,
5,Aquário Pequeno,catalogo(ouros),0 ouro,aquarios,,,,0,ouro
6,Aquário Moderno,catalogo(ouros),0 ouro,aquarios,,,,0,ouro
7,Aquário Grande,catalogo(ouros),0 ouro,aquarios,,,,0,ouro
8,Aquário de Luxo,catalogo(ouros),0 ouro,aquarios,,,,0,ouro
9,Santuário Aquático,catalogo(ouros),,aquarios,,,,,
10,Aquário Pequeno,qi(diamantes),,aquarios,,,,,
11,Aquário Moderno,qi(diamantes),,aquarios,,,,,
12,Aquário Grande,qi(diamantes),,aquarios,,,,,
13,Aquário de Luxo,qi(diamantes),,aquarios,,,,,
14,Santuário Aquático,qi(diamantes),20.0,aquarios,,,,20.0,
15,Banco de bétula,carpintaria(ouros),750 ouros,bancos,,,,750,ouros
16,Banco de carvalho,carpintaria(ouros),750 ouros,bancos,,,,750,ouros
17,Banco de nogueira,carpintaria(ouros),750 ouros,bancos,,,,750,ouros
18,Banco de mogno,carpintaria(ouros),2 000 ouros,bancos,,,,2,000
19,Banco moderno,carpintaria(ouros),2 000 ouros,bancos,,,,2,000
20,Bandeira de Gelo,Festival do Gelo,800 ouros,bandeiras,,,,800,ouros
21,Bandeira de Medusa-da-Lua,Dança das Medusas-da-Lua,800 ouros,bandeiras,,,,800,ouros
22,Bandeira Cores Pastel,Festival do Ovo,1 000 ouros,bandeiras,,,,1,000
23,Bandeira de inverno,Festival da Estrela Invernal,1 000 ouros,bandeiras,,,,1,000
24,Bandeira de Nuvens,Barco de Decoração  no  Mercado Noturno,1 000 ouros,bandeiras,,,,1,000
25,Cadeira de carvalho,carpintaria(ouros),350 ouros,cadeiras,,,,350,ouros
26,Cadeira de nogueira,carpintaria(ouros),350 ouros,cadeiras,,,,350,ouros
27,Cadeira de bétula,carpintaria(ouros),350 ouros,cadeiras,,,,350,ouros
28,Cadeira de mogno,carpintaria(ouros),1 000 ouros,cadeiras,,,,1,000
29,Cadeira vermelha de jantar,carpintaria(ouros),750 ouros,cadeiras,,,,750,ouros
30,Cadeira azul de jantar,carpintaria(ouros),750 ouros,cadeiras,,,,750,ouros
31,Cadeira do interior,carpintaria(ouros),750 ouros,cadeiras,,,,750,ouros
32,Cadeira do café da manhã,carpintaria(ouros),750 ouros,cadeiras,,,,750,ouros
33,Cadeira rosa de escritório,carpintaria(ouros),500 ouros,cadeiras,,,,500,ouros
34,Cadeira roxa de escritório,carpintaria(ouros),500 ouros,cadeiras,,,,500,ouros
35,Banco verde de escritório,carpintaria(ouros),350 ouros,cadeiras,,,,350,ouros
36,Banco laranja de escritório,carpintaria(ouros),350 ouros,cadeiras,,,,350,ouros
37,Trono negro,carpintaria(ouros),2 000 ouros,cadeiras,,,,2,000
38,Cadeira de jantar (amarela),carpintaria(ouros),1 200 ouros,cadeiras,,,,1,200
39,Cadeira de jantar (vermelha),carpintaria(ouros),1 200 ouros,cadeiras,,,,1,200
40,Assento verde de pelúcia,carpintaria(ouros),750 ouros,cadeiras,,,,750,ouros
41,Assento rosa de pelúcia,carpintaria(ouros),750 ouros,cadeiras,,,,750,ouros
42,Cadeira de inverno,carpintaria(ouros),750 ouros,cadeiras,,,,750,ouros
43,Cadeira Batuta,carpintaria(ouros),750 ouros,cadeiras,,,,750,ouros
44,Cadeira bonitinha,carpintaria(ouros),1 200 ouros,cadeiras,,,,1,200
45,Cadeira de toco,carpintaria(ouros),2 000 ouros,cadeiras,,,,2,000
46,Cadeira de metal,carpintaria(ouros),800 ouros,cadeiras,,,,800,ouros
47,Banco verde,carpintaria(ouros),350 ouros,cadeiras,,,,350,ouros
48,Banco azul,carpintaria(ouros),350 ouros,cadeiras,,,,350,ouros
49,Cadeira do rei,carpintaria(ouros),3 000 ouros,cadeiras,,,,3,000
50,Cadeira de cristal,carpintaria(ouros),N/A  (Recompensa do  Museu  ),cadeiras,,,,,
51,Cadeira Tropical,carpintaria(ouros),N/A  (Disponível no  Comerciante da Ilha  ),cadeiras,,,,,
52,Cama,Carpintaria,500 ouros,camas,,,,500,ouros
53,Cama,Catálogo de Mobília,0 ouro,camas,,,,0,ouro
54,Cama de Criança,Carpintaria,2 000 ouros,camas,,,,2,000
55,Cama de Criança,Catálogo de Mobília,0 ouro,camas,,,,0,ouro
56,Cama de Casal,Carpintaria,2 000 ouros,camas,,,,2,000
57,Cama de Casal,Catálogo de Mobília,0 ouro,camas,,,,0,ouro
58,Cama de Casal de Luxo Vermelha,"Carpintaria  Disponível apenas após completar o  Pedido Especial ""  Projeto da Robin  """,6 000 ouros,camas,,,,6,000
59,Cama de Casal de Pescador,Peixaria,25 000 ouros,camas,,,,25,000
60,Cama de Casal de Bétula,Comerciante do Deserto,Pérola  (1),camas,,,,1,Pérola
61,Cama de Casal de Pirata,Catálogo de Mobília,0 ouro,camas,,,,0,ouro
62,Cama de Casal de Pirata,Penny  (Evento de 14  ),,camas,,,,,
63,Cama de Casal Estrelada,Catálogo de Mobília,0 ouro,camas,,,,0,ouro
64,Cama de Casal Estrelada,Penny  (Evento de 14  ),,camas,,,,,
65,Cama de Casal de Morango,Catálogo de Mobília,0 ouro,camas,,,,0,ouro
66,Cama de Casal de Morango,Penny  (Evento de 14  ),,camas,,,,,
67,Cama de Casal Exótica,Sala de Nozes do Sr. Qi,50,camas,,,,5,0
68,Cama de Casal Moderna,Cassino,8 000,camas,,,,8,000
69,Cama de Casal Moderna,Catálogo de Mobília,0 ouro,camas,,,,0,ouro
70,Cama Tropical,Comerciante da Ilha,Gengibre  (20),camas,,,,20,Gengibre
71,Cama Tropical,Catálogo de Mobília,0 ouro,camas,,,,0,ouro
72,Cama de Casal Tropical,Comerciante da Ilha,Banana  (5),camas,,,,5,Banana
73,Cama de Casal Tropical,Catálogo de Mobília,0 ouro,camas,,,,0,ouro
74,Cama de Casal Selvagem,Comerciante da Ilha,Fragmento de Brasa  (100),camas,,,,,
75,Catálogo,Armazém do Pierre,30 000 ouros,catalogo,,,,30,000
76,Catálogo de Mobília,Carpintaria,200 000 ouros,catalogo,,,,200,000
77,Cômoda de bétula,,5 000 ouros,comodas,,,,5,000
78,Cômoda de carvalho,,5 000 ouros,comodas,,,,5,000
79,Cômoda de nogueira,,5 000 ouros,comodas,,,,5,000
80,Cômoda de mogno,,7 500 ouros,comodas,,,,7,500
81,Âncora,carpintaria(ouros),750 ouros,decoracao_parede,,,,750,ouros
82,Calendário,carpintaria(ouros),2 000 ouros,decoracao_parede,,,,2,000
83,Bandeirinhas,carpintaria(ouros),50 ouros,decoracao_parede,,,,50,ouros
84,Escudo de Parede,carpintaria(ouros),500 ouros,decoracao_parede,,,,500,ouros
85,Luz Joja-Cola,carpintaria(ouros),500 ouros  (apenas no  Mercado Joja  ),decoracao_parede,,,,500,ouros
86,Fotos pequenas,carpintaria(ouros),250 ouros,decoracao_parede,,,,250,ouros
87,Brasão do Mineiro,carpintaria(ouros),1 000 ouros,decoracao_parede,,,,1,000
88,Decoração de Monstros,carpintaria(ouros),1 000 ouros,decoracao_parede,,,,1,000
89,Poster de crânio,carpintaria(ouros),500 ouros,decoracao_parede,,,,500,ouros
90,Ursinho Tímido,carpintaria(ouros),,decoracao_parede,,,,,
91,Mapa Múndi,carpintaria(ouros),500 ouros,decoracao_parede,,,,500,ouros
92,Decalque do Céu Noturno,carpintaria(ouros),,decoracao_parede,,,,,
93,Decalque do Céu Noturno #2,carpintaria(ouros),,decoracao_parede,,,,,
94,Decalque do Céu Noturno #3,carpintaria(ouros),,decoracao_parede,,,,,
95,Âncora,carrinho_viagem(ouros),,decoracao_parede,,,,,
96,Calendário,carrinho_viagem(ouros),,decoracao_parede,,,,,
97,Bandeirinhas,carrinho_viagem(ouros),,decoracao_parede,,,,,
98,Escudo de Parede,carrinho_viagem(ouros),,decoracao_parede,,,,,
99,Luz Joja-Cola,carrinho_viagem(ouros),250–2 500 ouros,decoracao_parede,,,,25,0
100,Fotos pequenas,carrinho_viagem(ouros),250–2 500 ouros,decoracao_parede,,,,25,0
101,Brasão do Mineiro,carrinho_viagem(ouros),,decoracao_parede,,,,,
102,Decoração de Monstros,carrinho_viagem(ouros),,decoracao_parede,,,,,
103,Poster de crânio,carrinho_viagem(ouros),250–2 500 ouros,decoracao_parede,,,,25,0
