,Item,Número no Baú,Nível de pesca necessário,Outros requisitos,Imagem,Nome,Descrição,Ingredientes,Energia / Saúde,Bônus,Duração do Bônus,Fonte da Receita,Preço de Venda,Preço,Melhorias,Localização,Requisitos,Zona de Pesca,Nível de Pesca,fFishSize,fFishSize.1,Qualidade Base do Peixe (% de chance),Qualidade Base do Peixe (% de chance).1,Qualidade Base do Peixe (% de chance).2,Tamanho do Peixe Perfeito (cm),Tamanho do Peixe Perfeito (cm).1
0,Baú do tesouro,1,2+,,,,,,,,,,,,,,,,,,,,,,,
1,Minério de irídio,1-2,,Deve lançar à distância máxima,,,,,,,,,,,,,,,,,,,,,,
2,Minério de ouro,1-24,,Deve lançar à Distância máxima ou um pouco inferior à Distância máxima,,,,,,,,,,,,,,,,,,,,,,
3,Minério de ferro,1-24,,,,,,,,,,,,,,,,,,,,,,,,
4,Minério de cobre,1-24,,,,,,,,,,,,,,,,,,,,,,,,
5,Madeira,1-24,,,,,,,,,,,,,,,,,,,,,,,,
6,Pedra,1-24,,,,,,,,,,,,,,,,,,,,,,,,
7,Carvão,1-24,,,,,,,,,,,,,,,,,,,,,,,,
8,Isca artificial,1,6+,Deve lançar à Distância máxima ou um pouco inferior à Distância máxima,,,,,,,,,,,,,,,,,,,,,,
9,Isca,1-15,,,,,,,,,,,,,,,,,,,,,,,,
10,Livro Perdido,1,,Somente se você já encontrou 1 ou mais livros perdidos e se a coleção de livros do  Museu  não estiver completa,,,,,,,,,,,,,,,,,,,,,,
11,Esqueleto de cauda,1,2+,Somente se você já encontrou 1 ou mais artefatos,,,,,,,,,,,,,,,,,,,,,,
12,Fóssil de náutilo,1,2+,Somente se você já encontrou 1 ou mais artefatos,,,,,,,,,,,,,,,,,,,,,,
13,Fóssil de anfíbio,1-2,2+,Somente se você já encontrou 1 ou mais artefatos,,,,,,,,,,,,,,,,,,,,,,
14,Boneco antigo,1,2+,Somente se você já encontrou 1 ou mais artefatos,,,,,,,,,,,,,,,,,,,,,,
15,Joias Élficas,1,2+,Somente se você já encontrou 1 ou mais artefatos,,,,,,,,,,,,,,,,,,,,,,
16,Palha para mastigar,1,2+,Somente se você já encontrou 1 ou mais artefatos,,,,,,,,,,,,,,,,,,,,,,
17,Leque ornamental,1,2+,Somente se você já encontrou 1 ou mais artefatos,,,,,,,,,,,,,,,,,,,,,,
18,Ovo de dinossauro,1,2+,Somente se você já encontrou 1 ou mais artefatos,,,,,,,,,,,,,,,,,,,,,,
19,Disco raro,1,2+,,,,,,,,,,,,,,,,,,,,,,,
20,Espada antiga,1,2+,Somente se você já encontrou 1 ou mais artefatos,,,,,,,,,,,,,,,,,,,,,,
21,Colher enferrujada,1,2+,Somente se você já encontrou 1 ou mais artefatos,,,,,,,,,,,,,,,,,,,,,,
22,Esporão enferrujado,1,2+,Somente se você já encontrou 1 ou mais artefatos,,,,,,,,,,,,,,,,,,,,,,
23,Engrenagem velha,1,2+,Somente se você já encontrou 1 ou mais artefatos,,,,,,,,,,,,,,,,,,,,,,
24,Estátua de galinha,1,2+,Somente se você já encontrou 1 ou mais artefatos,,,,,,,,,,,,,,,,,,,,,,
25,Semente antiga,1,2+,Somente se você já encontrou 1 ou mais artefatos,,,,,,,,,,,,,,,,,,,,,,
26,Ferramenta pré-histórica,1,2+,Somente se você já encontrou 1 ou mais artefatos,,,,,,,,,,,,,,,,,,,,,,
27,Estrela-do-mar ressecada,1,2+,Somente se você já encontrou 1 ou mais artefatos,,,,,,,,,,,,,,,,,,,,,,
28,Âncora,1,2+,Somente se você já encontrou 1 ou mais artefatos,,,,,,,,,,,,,,,,,,,,,,
29,Cacos de vidro,1,2+,Somente se você já encontrou 1 ou mais artefatos,,,,,,,,,,,,,,,,,,,,,,
30,Flauta de ossos,1,2+,Somente se você já encontrou 1 ou mais artefatos,,,,,,,,,,,,,,,,,,,,,,
31,Boneco estranho,1,2+,,,,,,,,,,,,,,,,,,,,,,,
32,Boneco estranho,1,2+,,,,,,,,,,,,,,,,,,,,,,,
33,Geodo,1-6,,,,,,,,,,,,,,,,,,,,,,,,
34,Geodo congelado,1-6,,,,,,,,,,,,,,,,,,,,,,,,
35,Geodo de magma,1-6,,Deve lançar à Distância máxima ou um pouco inferior à Distância máxima,,,,,,,,,,,,,,,,,,,,,,
36,Quartzo de fogo,1-4,2+,Deve lançar à Distância máxima ou um pouco inferior à Distância máxima,,,,,,,,,,,,,,,,,,,,,,
37,Rubi,1-4,2+,Deve lançar à Distância máxima ou um pouco inferior à Distância máxima,,,,,,,,,,,,,,,,,,,,,,
38,Esmeralda,1-4,2+,Deve lançar à Distância máxima ou um pouco inferior à Distância máxima,,,,,,,,,,,,,,,,,,,,,,
39,Lágrima congelada,1-4,2+,,,,,,,,,,,,,,,,,,,,,,,
40,Jade,1-4,2+,,,,,,,,,,,,,,,,,,,,,,,
41,Água-marinha,1-4,2+,,,,,,,,,,,,,,,,,,,,,,,
42,Cristal de terra,1-4,2+,,,,,,,,,,,,,,,,,,,,,,,
43,Ametista,1-4,2+,,,,,,,,,,,,,,,,,,,,,,,
44,Topázio,1-4,2+,,,,,,,,,,,,,,,,,,,,,,,
45,Diamante,1-2,2+,,,,,,,,,,,,,,,,,,,,,,,
46,Fragmento prismático,1,6+,,,,,,,,,,,,,,,,,,,,,,,
47,Sementes mistas,1-3,,,,,,,,,,,,,,,,,,,,,,,,
48,Gládio de Netuno,1,2+,,,,,,,,,,,,,,,,,,,,,,,
49,Tridente quebrado,1,2+,,,,,,,,,,,,,,,,,,,,,,,
50,Anel de brilho pequeno,1,2+,,,,,,,,,,,,,,,,,,,,,,,
51,Pequeno anel com ímã,1,2+,,,,,,,,,,,,,,,,,,,,,,,
52,Anel de ametista,1,2+,,,,,,,,,,,,,,,,,,,,,,,
53,Anel de topázio,1,2+,,,,,,,,,,,,,,,,,,,,,,,
54,Anel de água-marinha,1,2+,,,,,,,,,,,,,,,,,,,,,,,
55,Anel de jade,1,2+,,,,,,,,,,,,,,,,,,,,,,,
56,Anel de esmeralda,1,2+,,,,,,,,,,,,,,,,,,,,,,,
57,Anel de rubi,1,2+,,,,,,,,,,,,,,,,,,,,,,,
58,Anel de irídio,1,2+,,,,,,,,,,,,,,,,,,,,,,,
59,Tênis,1 pair,2+,,,,,,,,,,,,,,,,,,,,,,,
60,Botas de borracha,1 pair,2+,,,,,,,,,,,,,,,,,,,,,,,
61,Botas de couro,1 pair,2+,,,,,,,,,,,,,,,,,,,,,,,
62,Botas de trabalho,1 pair,2+,,,,,,,,,,,,,,,,,,,,,,,
63,Botas de combate,1 pair,2+,,,,,,,,,,,,,,,,,,,,,,,
64,Botas de tundra,1 pair,2+,,,,,,,,,,,,,,,,,,,,,,,
65,Botas térmicas,1 pair,2+,,,,,,,,,,,,,,,,,,,,,,,
66,Botas negras,1 pair,2+,,,,,,,,,,,,,,,,,,,,,,,
67,Botas de Salamandra,1 pair,2+,,,,,,,,,,,,,,,,,,,,,,,
68,Sapatos de gênio,1 pair,2+,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,Sopa de peixe,Para se esquentar após uma noite fria no mar.,Concha  (1)  Leite  (1),225  101,Pesca  (+1),16min47s,Willy  (Correio - 3+  ),135 ouros,,,,,,,,,,,,,
70,,,,,,Prato do mar,Mantém você quente no vento frio do mar.,Sardinha  (2)  Batata-palha  (1),150  67,Pesca  (+3),5min35s,Pesca  Nível 3,220 ouros,,,,,,,,,,,,,
71,,,,,,Escargô,Lesmas cobertas de manteiga e cozidas com perfeição.,Lesma  (1)  Alho  (1),225  101,Pesca  (+2),16min47s,Willy  (Correio- 5+  ),125 ouros,,,,,,,,,,,,,
72,,,,,,Guisado de peixe,Tem cheiro de mar. Mas o gosto é melhor.,Lagostim  (1)  Mexilhão  (1)  Caramujo  (1)  Tomate  (1),225  101,Pesca  (+3),16min47s,Willy  (Correio - 7+  ),175 ouros,,,,,,,,,,,,,
73,,,,,,Taco de peixe,Tem um cheiro delicioso.,Atum  (1)  Tortilha  (1)  Repolho roxo  (1)  Maionese  (1),165  74,Pesca  (+2),7min,Linus  (Correio - 7+  ),500 ouros,,,,,,,,,,,,,
74,,,,,,Bisque de lagosta,Esta sopa delicada é uma receita secreta de família do Willy.,Lagosta  (1)  Leite  (1),225  101,Pesca  (+3)  Energia Máxima  (+50),16min47s,"Rainha do Molho  14 Inverno, Ano 2  Willy  (Correio - 9+  )",205 ouros,,,,,,,,,,,,,
75,,,,,,Pão de ácer,Uma rosquinha doce coberta com ácer.,Xarope de ácer  (1)  Açúcar  (1)  Farinha de trigo  (1),225  101,Cultivo  (+1)  Pesca  (+1)  Mineração  (+1),16min47s,"Rainha do Molho  14 Verão, Ano 2",300 ouros,,,,,,,,,,,,,
76,,,,,,Sopa de truta,Bem salgada.,Truta arco-íris  (1)  Algas verdes  (1),100  45,Pesca  (+1),4min39s,"Rainha do Molho  14 Outono, Ano 1",100 ouros,,,,,,,,,,,,,
77,,,,,,Pudim de espuma do mar,Este pudim salgado vai realmente levar você à mentalidade marítima!,Linguado  (1)  Carpa da meia-noite  (1)  Tinta de Lula  (1),175  78,Pesca  (+4),3min30s,Pesca  (Nível 9),300 ouros,,,,,,,,,,,,,
78,,,,,,Vara de Treinamento,,,,,,,,25 ouros,,Compre da  Peixaria  do Willy.,,,,,,,,,,
79,,,,,,Vara de bambu,,,,,,,,500 ouros,,Dada a você pelo  Willy  .  Compre da  Peixaria  do Willy.,,,,,,,,,,
80,,,,,,Vara de fibra de vidro,,,,,,,,1 800 ouros,Uso de  Iscas  .,Compre da  Peixaria  do Willy.,"Nível de Pesca 2  (Quando estiver disponível, o jogador receberá uma carta.)",,,,,,,,,
81,,,,,,Vara de irídio,,,,,,,,7 500 ouros,Uso de  Iscas  e  Anzóis  .,Compre da  Peixaria  do Willy.,"Nível de Pesca 6  (Quando estiver disponível, o jogador receberá uma carta.)",,,,,,,,,
82,,,,,,,,,,,,,,,,,,Zona de Pesca,Nível de Pesca,Min.,Máx.,Normal,Prata,Ouro,Sardinha,Arenque
83,,,,,,,,,,,,,,,,,,1,0-1,4,22,100,0,0,5 - 10,23 - 28
84,,,,,,,,,,,,,,,,,,1,2-3,7,22,100,0,0,5 - 10,23 - 28
85,,,,,,,,,,,,,,,,,,1,4-5,11,22,100,0,0,8 - 10,25 - 28
86,,,,,,,,,,,,,,,,,,1,6-7,14,22,100,0,0,8 - 10,25 - 28
87,,,,,,,,,,,,,,,,,,1,8-9,18,22,100,0,0,8 - 10,28
88,,,,,,,,,,,,,,,,,,1,10-11,22,26,100,0,0,10,28 - 30
89,,,,,,,,,,,,,,,,,,1,12-13,25,31,100,0,0,10 - 13,30
90,,,,,,,,,,,,,,,,,,1,14-15,29,35,67,33,0,13,30 - 33
91,,,,,,,,,,,,,,,,,,1,16,32,40,10,90,0,13 - 15,30 - 33
92,,,,,,,,,,,,,,,,,,2,0-1,7,44,73,27,0,5 - 15,23 - 36
93,,,,,,,,,,,,,,,,,,2,2-3,14,44,67,33,0,8 - 15,25 - 36
94,,,,,,,,,,,,,,,,,,2,4-5,22,44,56,44,0,10 - 15,28 - 36
95,,,,,,,,,,,,,,,,,,2,6-7,29,44,33,67,0,13 - 15,30 - 36
96,,,,,,,,,,,,,,,,,,2,8-9,36,44,0,100,0,13 - 15,33 - 36
97,,,,,,,,,,,,,,,,,,2,10-11,43,53,0,100,0,15 - 18,36 - 38
98,,,,,,,,,,,,,,,,,,2,12-13,50,62,0,100,0,18 - 20,38 - 41
99,,,,,,,,,,,,,,,,,,2,14-15,58,70,0,67,33,20 - 23,38 - 43
100,,,,,,,,,,,,,,,,,,2,16,65,79,0,10,90,23 - 25,41 - 46
101,,,,,,,,,,,,,,,,,,3,0-1,11,66,42,57,1,8 - 23,25 - 41
102,,,,,,,,,,,,,,,,,,3,2-3,22,66,27,71,1,10 - 23,28 - 41
103,,,,,,,,,,,,,,,,,,3,4-5,32,66,3,95,2,13 - 23,30 - 41
104,,,,,,,,,,,,,,,,,,3,6-7,43,66,0,98,2,15 - 23,36 - 41
105,,,,,,,,,,,,,,,,,,3,8-9,54,66,0,95,5,18 - 23,38- 41
106,,,,,,,,,,,,,,,,,,3,10-11,65,79,0,10,90,23 - 25,41- 46
107,,,,,,,,,,,,,,,,,,3,12-13,76,92,0,0,100,25 - 30,46 - 51
108,,,,,,,,,,,,,,,,,,3,14-15,86,100,0,0,100,28 - 33,48 - 53
109,,,,,,,,,,,,,,,,,,3,16,97,100,0,0,100,33,53
110,,,,,,,,,,,,,,,,,,5,0-1,18,100,20,39,41,8 - 33,28 - 53
111,,,,,,,,,,,,,,,,,,5,2-3,36,100,0,49,51,13 - 33,33 - 53
112,,,,,,,,,,,,,,,,,,5,4-5,54,100,0,32,68,18 - 33,38 - 53
113,,,,,,,,,,,,,,,,,,5,6-7,72,100,0,0,100,23 - 33,43 - 53
114,,,,,,,,,,,,,,,,,,5,8-9,90,100,0,0,100,28 - 33,48 - 53
115,,,,,,,,,,,,,,,,,,5,10-11,100,100,0,0,100,33,53
116,,,,,,,,,,,,,,,,,,5,12-13,100,100,0,0,100,33,53
117,,,,,,,,,,,,,,,,,,5,14-15,100,100,0,0,100,33,53
118,,,,,,,,,,,,,,,,,,5,16,100,100,0,0,100,33,53
