,Zona de Pesca,Nível de Pesca,Tamanho mínimo de peixe,Tamanho máximo de peixe,% Qualidade Normal,% Qualidade Prata,% Qualidade Ouro,Tamanho do Sardinha Perfeita (cm),Tamanho do Arenque Perfeito (cm)
1,1,0-1,4,22,100,0,0,5 - 10,23 - 28
2,1,2-3,7,22,100,0,0,5 - 10,23 - 28
3,1,4-5,11,22,100,0,0,8 - 10,25 - 28
4,1,6-7,14,22,100,0,0,8 - 10,25 - 28
5,1,8-9,18,22,100,0,0,8 - 10,28
6,1,10-11,22,26,100,0,0,10,28 - 30
7,1,12-13,25,31,100,0,0,10 - 13,30
8,1,14-15,29,35,67,33,0,13,30 - 33
9,1,16,32,40,10,90,0,13 - 15,30 - 33
10,2,0-1,7,44,73,27,0,5 - 15,23 - 36
11,2,2-3,14,44,67,33,0,8 - 15,25 - 36
12,2,4-5,22,44,56,44,0,10 - 15,28 - 36
13,2,6-7,29,44,33,67,0,13 - 15,30 - 36
14,2,8-9,36,44,0,100,0,13 - 15,33 - 36
15,2,10-11,43,53,0,100,0,15 - 18,36 - 38
16,2,12-13,50,62,0,100,0,18 - 20,38 - 41
17,2,14-15,58,70,0,67,33,20 - 23,38 - 43
18,2,16,65,79,0,10,90,23 - 25,41 - 46
19,3,0-1,11,66,42,57,1,8 - 23,25 - 41
20,3,2-3,22,66,27,71,1,10 - 23,28 - 41
21,3,4-5,32,66,3,95,2,13 - 23,30 - 41
22,3,6-7,43,66,0,98,2,15 - 23,36 - 41
23,3,8-9,54,66,0,95,5,18 - 23,38- 41
24,3,10-11,65,79,0,10,90,23 - 25,41- 46
25,3,12-13,76,92,0,0,100,25 - 30,46 - 51
26,3,14-15,86,100,0,0,100,28 - 33,48 - 53
27,3,16,97,100,0,0,100,33,53
28,5,0-1,18,100,20,39,41,8 - 33,28 - 53
29,5,2-3,36,100,0,49,51,13 - 33,33 - 53
30,5,4-5,54,100,0,32,68,18 - 33,38 - 53
31,5,6-7,72,100,0,0,100,23 - 33,43 - 53
32,5,8-9,90,100,0,0,100,28 - 33,48 - 53
33,5,10-11,100,100,0,0,100,33,53
34,5,12-13,100,100,0,0,100,33,53
35,5,14-15,100,100,0,0,100,33,53
36,5,16,100,100,0,0,100,33,53
