,Nome,Descrição,Ingredientes_item,Ingredientes_qtd,Fonte da Receita,Origem da Receita,Dura Por,Energia,Saúde
0,Anel duro,Corta a duração de efeitos negativos pela metade.,Barra de cobre,10.0,Combate  nível 1,,,,
1,Anel duro,Corta a duração de efeitos negativos pela metade.,Quartzo refinado,5.0,Combate  nível 1,,,,
2,Anel duro,Corta a duração de efeitos negativos pela metade.,Cristal de terra,10.0,Combate  nível 1,,,,
4,Anel de Pedra Luminosa,"Emite uma luz constante, e também aumenta seu alcance de coleta de itens.",Essência solar,5.0,Mineração  Nível 4,,,,
5,Anel de Pedra Luminosa,"Emite uma luz constante, e também aumenta seu alcance de coleta de itens.",Barra de ferro,5.0,Mineração  Nível 4,,,,
7,Anel de guerreiro,"Ocasionalmente enche quem o usa de ""energia de guerreiro"" após matar um monstro.",Barra de ferro,10.0,Combate  nível 4,,,,
8,Anel de guerreiro,"Ocasionalmente enche quem o usa de ""energia de guerreiro"" após matar um monstro.",Carvão,25.0,Combate  nível 4,,,,
9,Anel de guerreiro,"Ocasionalmente enche quem o usa de ""energia de guerreiro"" após matar um monstro.",Lágrima congelada,10.0,Combate  nível 4,,,,
11,Anel de Ioba,Protege ocasionalmente quem o usa de dano.,Barra de ouro,5.0,Combate  nível 7,,,,
12,Anel de Ioba,Protege ocasionalmente quem o usa de dano.,Barra de ferro,5.0,Combate  nível 7,,,,
13,Anel de Ioba,Protege ocasionalmente quem o usa de dano.,Diamante,1.0,Combate  nível 7,,,,
15,Anel de irídio,"Brilha, atrai itens, e aumenta dano de ataque em 10%.",Barra de irídio,5.0,Combate  nível 9,,,,
16,Anel de irídio,"Brilha, atrai itens, e aumenta dano de ataque em 10%.",Essência solar,50.0,Combate  nível 9,,,,
17,Anel de irídio,"Brilha, atrai itens, e aumenta dano de ataque em 10%.",Essência nula,50.0,Combate  nível 9,,,,
19,Anel de Casamento,Uma antiga tradição da Cidade de Zuzu... Use para pedir a mão de uma pessoa em casamento.  Nota: apenas  multijogador  .,Barra de irídio,5.0,Carrinho de Viagem  por  500 ouros,,,,
20,Anel de Casamento,Uma antiga tradição da Cidade de Zuzu... Use para pedir a mão de uma pessoa em casamento.  Nota: apenas  multijogador  .,Fragmento prismático,1.0,Carrinho de Viagem  por  500 ouros,,,,
22,Aspersor,Rega os quatro espaços adjacentes toda manhã.,Barra de cobre,1.0,Cultivo  nível 2,,,,
23,Aspersor,Rega os quatro espaços adjacentes toda manhã.,Barra de ferro,1.0,Cultivo  nível 2,,,,
25,Aspersor de qualidade,Rega 8 espaços adjacentes toda manhã.,Barra de ferro,1.0,Cultivo  nível 6,,,,
26,Aspersor de qualidade,Rega 8 espaços adjacentes toda manhã.,Barra de ouro,1.0,Cultivo  nível 6,,,,
27,Aspersor de qualidade,Rega 8 espaços adjacentes toda manhã.,Quartzo refinado,1.0,Cultivo  nível 6,,,,
29,Aspersor de irídio,Rega 24 espaços adjacentes toda manhã.,Barra de ouro,1.0,Cultivo  nível 9,,,,
30,Aspersor de irídio,Rega 24 espaços adjacentes toda manhã.,Barra de irídio,1.0,Cultivo  nível 9,,,,
31,Aspersor de irídio,Rega 24 espaços adjacentes toda manhã.,Conjunto de pilhas,1.0,Cultivo  nível 9,,,,
33,Bombinha,Gera uma pequena explosão. Afaste-se!,Minério de cobre,4.0,,Mineração  nível 1,,,
34,Bombinha,Gera uma pequena explosão. Afaste-se!,Carvão,1.0,,Mineração  nível 1,,,
36,Bomba,Gera uma explosão. Cuidado!,Minério de ferro,4.0,,Mineração  nível 6,,,
37,Bomba,Gera uma explosão. Cuidado!,Carvão,1.0,,Mineração  nível 6,,,
