,profissao,nivel1,nivel2,nivel3,nivel4,nivel5,nivel5.1,nivel6,nivel7,nivel8,nivel9,nivel10,nivel10.1
0,cultivo,Receitas de Artesanato:,Receitas de Artesanato:,Receitas de Artesanato / Culinária:,Receitas de Artesanato:,Escolha uma profissão:,Escolha uma profissão:,Receitas de Artesanato:,Receitas de Artesanato:,Receitas de Artesanato:,Receitas de Artesanato:,Rancheiro:,Cultivador:
1,cultivo,Espantalho  Fertilizante básico,Máquina de maionese  Cerca de Pedra  Aspersor,Apiário  Solo Foliar  Almoço de fazendeiro,Jarra de conserva  Solo retentor  Cerca de ferro,Rancheiro  Produtos de origem  animal  valem 20% a mais.,"Cultivador  Plantações  valem 10% a mais.  (O bônus se aplica a todos os vegetais e flores, e todas as frutas, com exceção  das frutas que não venham de arvores frutíferas-  ""Frutas coletadas""  )",Prensa de queijo  Cerca de madeira de lei  Aspersor de qualidade,Tear  Solo retentor de qualidade,Gerador de óleo  Barril  Solo Foliar Premium,Gerador de sementes  Aspersor de irídio  Fertilizante de qualidade,"Mestre do galinheiro  Fica amigo de  animais  pequenos mais rápido.  O tempo da  chocadeira  e  incubadora de avestruzes  cai pela metade.  (Também melhora a qualidade dos produtos do galinheiro, entenda melhor  aqui  )","Artesão  Artigos artesanais  (vinho, queijo, óleo de trufa, etc) valem 40% a mais.  (Nota:  óleo de cozinha  não se beneficia da profissão de artesão)"
2,cultivo,,,,,,,Prensa de queijo  Cerca de madeira de lei  Aspersor de qualidade,Tear  Solo retentor de qualidade,Gerador de óleo  Barril  Solo Foliar Premium,Gerador de sementes  Aspersor de irídio  Fertilizante de qualidade,"Pastor  Fica amigo de  animais  de celeiro mais rápido, e a  ovelha  produz a  lã  mais rápido.  (Também melhora a qualidade dos produtos do celeiro, entenda melhor  aqui  .)",Agricultor  Todas as  plantações  crescem 10% mais rápido.
3,pesca,Receitas de Artesanato:,Receitas de Artesanato:,Receitas de Artesanato / Culinária:,Receitas de Artesanato:,Escolha uma profissão:,Escolha uma profissão:,Receitas de Artesanato:,Receitas de Artesanato:,Receitas de Artesanato:,Receitas de Artesanato:,Pescador:,Armadilheiro:
4,pesca,Distância de lançamento aumentada em um bloco,Isca  Vara de fibra de vidro  e  Isca  desbloqueado na  Peixaria,Covo  Prato do mar  Covo  desbloqueado na  Peixaria,Máquina de reciclagem  Distância de lançamento aumentada em um bloco,Pescador  Os  peixes  valem mais 25% a mais.,Armadilheiro  Menos recursos são necessários para fazer  covos  .,"Anzol  Boia-armadilha  Vara de irídio  ,  Chumbo para isca  ,  Anzol  , e  Boia-armadilha  desbloqueado na  Peixaria",Boia de cortiça  Caça ao tesouro  Boia de cortiça  e  Caça ao tesouro  desbloqueado na  Peixaria,Cesto de minhocas  Anzol farpado  Isca artificial  Anzol farpado  e  Isca artificial  desbloqueado na  Peixaria  Distância de lançamento aumentada em um bloco,Ímã  Pudim de espuma do mar  Ímã  desbloqueado na  Peixaria,Mestre pescador  Os  peixes  valem mais 50% a mais.,Marinheiro  Covos  não produzem mais  lixo  .
5,pesca,,,,,,,"Anzol  Boia-armadilha  Vara de irídio  ,  Chumbo para isca  ,  Anzol  , e  Boia-armadilha  desbloqueado na  Peixaria",Boia de cortiça  Caça ao tesouro  Boia de cortiça  e  Caça ao tesouro  desbloqueado na  Peixaria,Cesto de minhocas  Anzol farpado  Isca artificial  Anzol farpado  e  Isca artificial  desbloqueado na  Peixaria  Distância de lançamento aumentada em um bloco,Ímã  Pudim de espuma do mar  Ímã  desbloqueado na  Peixaria,Pirata  Chance dobrada de encontrar tesouros.,Mestre da isca  Covos  não exigem mais iscas.
6,mineracao,Receitas de Artesanato:,Receitas de Artesanato:,Receitas de Culinária:,Receitas de Artesanato:,Escolha uma profissão:,Escolha uma profissão:,Receitas de Artesanato:,Receitas de Artesanato:,Receitas de Artesanato:,Receitas de Artesanato:,Minerador:,Geólogo:
7,mineracao,Bombinha,Escadaria,Refeição de mineiro,Transmutar (Fe)  Anel de Pedra Luminosa,Minerador  +1 minério por  veia  .,Geólogo  Chance de  pedras preciosas  aparecerem em pares.  (50% chance. Também se aplica a  geodos  gerado a partir de rochas quebrandas.),Bomba,Transmutar (Au),Megabomba,Cristalário,"Ferreiro  As barras de metal valem 50% a mais.  (Aplica-se a barras de  cobre  ,  ferro  ,  ouro  , e  irídio  )",Escavador  Chance de encontrar  geodos  dobra.  (Aplica-se a todos os 4 tipos de geodos))
8,mineracao,,,,,,,Bomba,Transmutar (Au),Megabomba,Cristalário,Garimpeiro  Chance de encontrar  carvão  dobra.,Gemólogo  As joias valem 30% a mais.  (Aplica-se a  Minerais e Gemas  )
9,coleta,Receitas de Artesanato:,Receitas de Culinária:,Receitas de Artesanato:,Receitas de Artesanato:,Escolha uma profissão:,Escolha uma profissão:,Receitas de Artesanato:,Receitas de Artesanato:,Receitas de Artesanato:,Receitas de Artesanato:,Silvicultor:,Coletor:
