,Tipo,Qualidade,Profissão,Artesanato,Pierre,Oásis
0,Concha,Normal,Sem  Profissão,150 ouros,500 ouros,
1,Concha,Prata,Sem  Profissão,162 ouros,500 ouros,
2,Concha,Ouro,Sem  Profissão,175 ouros,500 ouros,
3,Concha,Irídio,Sem  Profissão,200 ouros,500 ouros,
4,Concha,Normal,Profissão  Torneirinha,175 ouros,500 ouros,
5,Concha,Prata,Profissão  Torneirinha,187 ouros,500 ouros,
6,Concha,Ouro,Profissão  Torneirinha,200 ouros,500 ouros,
7,Concha,Irídio,Profissão  Torneirinha,225 ouros,500 ouros,
8,Coral,Normal,Sem  Profissão,230 ouros,750 ouros,400 ouros
9,Coral,Prata,Sem  Profissão,250 ouros,750 ouros,400 ouros
10,Coral,Ouro,Sem  Profissão,270 ouros,750 ouros,400 ouros
11,Coral,Irídio,Sem  Profissão,310 ouros,750 ouros,400 ouros
12,Coral,Normal,Profissão  Torneirinha,267 ouros,750 ouros,400 ouros
13,Coral,Prata,Profissão  Torneirinha,287 ouros,750 ouros,400 ouros
14,Coral,Ouro,Profissão  Torneirinha,307 ouros,750 ouros,400 ouros
15,Coral,Irídio,Profissão  Torneirinha,347 ouros,750 ouros,400 ouros
