,Unnamed: 0,nivel_habilidade_cultivo,Melhoramento,qualidade_produto,percentual
0,0,0,Fertilizante de Qualidade,1.regular,78
1,1,0,Normal,1.regular,97
2,2,0,Fertilizante Básico,1.regular,87
3,3,0,Normal,2.prata,2
4,4,0,Fertilizante de Qualidade,2.prata,14
5,5,0,Fertilizante Básico,2.prata,9
6,6,0,Normal,3.ouro,1
7,7,0,Fertilizante Básico,3.ouro,4
8,8,0,Fertilizante de Qualidade,3.ouro,8
9,9,1,Fertilizante de Qualidade,2.prata,23
10,10,1,Normal,2.prata,6
11,11,1,Fertilizante Básico,2.prata,15
12,12,1,Fertilizante de Qualidade,3.ouro,13
13,13,1,Fertilizante de Qualidade,1.regular,64
14,14,1,Normal,1.regular,91
15,15,1,Fertilizante Básico,1.regular,77
16,16,1,Fertilizante Básico,3.ouro,8
17,17,1,Normal,3.ouro,3
18,18,2,Fertilizante Básico,2.prata,20
19,19,2,Normal,2.prata,10
20,20,2,Fertilizante de Qualidade,2.prata,30
21,21,2,Normal,1.regular,86
22,22,2,Fertilizante Básico,3.ouro,12
23,23,2,Normal,3.ouro,5
24,24,2,Fertilizante de Qualidade,3.ouro,18
25,25,2,Fertilizante Básico,1.regular,68
26,26,2,Fertilizante de Qualidade,1.regular,52
27,27,3,Fertilizante de Qualidade,1.regular,40
28,28,3,Fertilizante Básico,2.prata,26
29,29,3,Normal,2.prata,13
30,30,3,Fertilizante Básico,1.regular,59
31,31,3,Normal,1.regular,80
32,32,3,Fertilizante Básico,3.ouro,15
33,33,3,Fertilizante de Qualidade,3.ouro,24
34,34,3,Fertilizante de Qualidade,2.prata,36
35,35,3,Normal,3.ouro,7
36,36,4,Normal,2.prata,16
37,37,4,Fertilizante de Qualidade,3.ouro,29
38,38,4,Normal,3.ouro,9
39,39,4,Fertilizante de Qualidade,2.prata,41
40,40,4,Fertilizante de Qualidade,1.regular,30
41,41,4,Normal,1.regular,75
42,42,4,Fertilizante Básico,2.prata,31
43,43,4,Fertilizante Básico,1.regular,50
44,44,4,Fertilizante Básico,3.ouro,19
45,45,5,Normal,3.ouro,11
46,46,5,Fertilizante Básico,3.ouro,23
47,47,5,Fertilizante de Qualidade,3.ouro,34
48,48,5,Normal,2.prata,20
49,49,5,Fertilizante de Qualidade,2.prata,46
50,50,5,Fertilizante de Qualidade,1.regular,20
51,51,5,Normal,1.regular,69
52,52,5,Fertilizante Básico,1.regular,42
53,53,5,Fertilizante Básico,2.prata,35
54,54,6,Fertilizante de Qualidade,2.prata,45
55,55,6,Normal,2.prata,23
56,56,6,Fertilizante Básico,1.regular,35
57,57,6,Fertilizante de Qualidade,3.ouro,40
58,58,6,Normal,3.ouro,13
59,59,6,Fertilizante Básico,3.ouro,26
60,60,6,Fertilizante de Qualidade,1.regular,15
61,61,6,Normal,1.regular,64
62,62,6,Fertilizante Básico,2.prata,39
63,63,7,Fertilizante Básico,2.prata,42
64,64,7,Fertilizante de Qualidade,3.ouro,45
65,65,7,Normal,3.ouro,15
66,66,7,Normal,2.prata,25
67,67,7,Fertilizante de Qualidade,2.prata,41
68,68,7,Fertilizante Básico,1.regular,28
69,69,7,Fertilizante de Qualidade,1.regular,14
70,70,7,Normal,1.regular,60
71,71,7,Fertilizante Básico,3.ouro,30
72,72,8,Fertilizante Básico,1.regular,22
73,73,8,Normal,1.regular,55
74,74,8,Normal,3.ouro,17
75,75,8,Fertilizante de Qualidade,3.ouro,50
76,76,8,Fertilizante de Qualidade,2.prata,38
77,77,8,Fertilizante de Qualidade,1.regular,12
78,78,8,Normal,2.prata,28
79,79,8,Fertilizante Básico,2.prata,44
80,80,8,Fertilizante Básico,3.ouro,34
81,81,9,Fertilizante Básico,2.prata,47
82,82,9,Normal,1.regular,50
83,83,9,Fertilizante Básico,1.regular,16
84,84,9,Fertilizante de Qualidade,1.regular,11
85,85,9,Normal,3.ouro,19
86,86,9,Fertilizante de Qualidade,2.prata,33
87,87,9,Normal,2.prata,31
88,88,9,Fertilizante de Qualidade,3.ouro,56
89,89,9,Fertilizante Básico,3.ouro,37
90,90,10,Fertilizante Básico,2.prata,44
91,91,10,Fertilizante de Qualidade,2.prata,29
92,92,10,Fertilizante Básico,1.regular,15
93,93,10,Normal,1.regular,46
94,94,10,Normal,2.prata,33
95,95,10,Fertilizante de Qualidade,1.regular,10
96,96,10,Fertilizante Básico,3.ouro,41
97,97,10,Fertilizante de Qualidade,3.ouro,61
98,98,10,Normal,3.ouro,21
