,item,XP,Profissao,estacao_condicao,XP_condicional
0,Gosma verde,3.0,combate,,
1,Espírito da poeira,2.0,combate,,
2,Morcego,3.0,combate,,
3,Morcego congelado,7.0,combate,,
4,Morcego de lava,15.0,combate,,
5,Morcego de irídio,22.0,combate,,
6,Golem de pedra,5.0,combate,,
7,Golem selvagem,5.0,combate,,
8,Larva,2.0,combate,,
9,Mosca da caverna,10.0,combate,,
10,Gosma azul,6.0,combate,,
11,Qualquer gosma que não seja verde ou azul,10.0,combate,,
12,Fantasma,15.0,combate,,
13,Cavador,10.0,combate,,
14,Caranguejo-pedra,4.0,combate,,
15,Caranguejo-lava,12.0,combate,,
16,Caranguejo de Irídio,20.0,combate,,
17,Face,15.0,combate,,
18,Bruto das sombras,15.0,combate,,
19,Xamã das sombras,15.0,combate,,
20,Esqueleto,8.0,combate,,
21,Cabeça de metal,6.0,combate,,
22,Inseto,1.0,combate,,
23,Múmia,20.0,combate,,
24,Gosma grande,7.0,combate,,
25,Serpente,20.0,combate,,
26,Larva mutante,6.0,combate,,
27,Mosca mutante,10.0,combate,,
28,Pimenta Rex,7.0,combate,,
29,Caveira Assombrada,15.0,combate,,
0,Qualquer Rocha (Lado de fora das  minas  ),1.0,mineracao,carvão:,5.0
1,Pedra grande  cinza (Lado de fora das  minas  ),0.0,mineracao,,
2,Rochas (dentro das  minas  ),0.0,mineracao,,
3,Qualquer dessas rochas cinzentas escuras (dentro das  minas  ),3.0,mineracao,carvão:,4.0
4,Nó de  Ametista,8.0,mineracao,Minerador:,16.0
5,Nó de  Água-marinha,20.0,mineracao,Minerador:,40.0
6,Nó de  Diamante,100.0,mineracao,Minerador:,150.0
7,Nó de  Esmeralda,50.0,mineracao,Minerador:,80.0
8,Nó de  Jade,20.0,mineracao,Minerador:,40.0
9,Nó de  Rubi,50.0,mineracao,Minerador:,80.0
10,Nó de  Topázio,8.0,mineracao,Minerador:,16.0
11,Nó de Gemas,3.0,mineracao,,
12,Pedra Mística,50.0,mineracao,,
13,Nó de Cobre,5.0,mineracao,,
14,Nó de Ferro,12.0,mineracao,,
15,Nó de Ouro,18.0,mineracao,,
16,Nó de Irídio,50.0,mineracao,,
17,Nó de  Geodo,8.0,mineracao,,
18,Nó de  Geodo congelado,16.0,mineracao,,
19,Nó de  Geodo de magma,32.0,mineracao,,
0, cortar uma árvore com um machado (concedido de uma só vez para o último corte que causar a queda da árvore).,1.0,coleta,,
1, remover o toco da árvore.,1.0,coleta,,
2, remover Toco grande e tronco grande .,2.0,coleta,,
3,7 PE por cada item de coleta apanhado do chão.,7.0,coleta,,
4,"Se a profissão Coletor dobrar o item coletado, outros 7 PE são concedidos para o item extra.",7.0,coleta,,
5, cada Cebolinha colhida na Floresta Cinzaseiva na Primavera .,3.0,coleta,,
6,Itens de coleta padrão gerados aleatoriamente em Stardew Valley e no Deserto Calico.,7.0,coleta,,
7,"Itens cultivados a partir de Sementes Silvestres , (a menos que esteja em um Vaso de Jardim , nesse caso 0 PE).",7.0,coleta,,
8,Todos os itens coletados na Praia e no e no lado oeste da Ilha Gengibre .,7.0,coleta,,
9,"Todas as frutas coletadas na Caverna , se a opção morcego de fruta for selecionada.",7.0,coleta,,
10,Todos os cogumelos coletados na Caverna de cogumelos da Ilha Gengibre .,7.0,coleta,,
11,Trufas .,7.0,coleta,,
12,"Itens de coleta encontrados no chão das Minas e da Caverna da Caveira , ou seja Cogumelos vermelhos , Cogumelos roxos , e Brotos de samambaia .",7.0,coleta,,
0,Nível 1 pescando sardinhas,12.5,pesca,,
1,Nível 2 pescando sardinhas,12.666666666666666,pesca,,
2,Nível 3 pescando sardinhas,12.833333333333334,pesca,,
3,Nível 4 pescando sardinhas,13.0,pesca,,
4,Nível 5 pescando sardinhas,12.951807228915662,pesca,,
5,Nível 6 pescando sardinhas,12.992125984251969,pesca,,
6,Nível 7 pescando sardinhas,12.972972972972974,pesca,,
7,Nível 8 pescando sardinhas,12.994350282485875,pesca,,
8,Nível 9 pescando sardinhas,12.987012987012987,pesca,,
9,Nível 10 pescando sardinhas,12.998266897746968,pesca,,
10,Nível 1 pescando lendarios,100.0,pesca,,
11,Nível 2 pescando lendarios,190.0,pesca,,
12,Nível 3 pescando lendarios,192.5,pesca,,
13,Nível 4 pescando lendarios,216.66666666666666,pesca,,
14,Nível 5 pescando lendarios,215.0,pesca,,
15,Nível 6 pescando lendarios,220.0,pesca,,
16,Nível 7 pescando lendarios,218.1818181818182,pesca,,
17,Nível 8 pescando lendarios,222.58064516129033,pesca,,
18,Nível 9 pescando lendarios,227.27272727272728,pesca,,
19,Nível 10 pescando lendarios,227.27272727272728,pesca,,
20,Nível 1 pescando covos,5.0,pesca,,
21,Nível 2 pescando covos,5.0,pesca,,
22,Nível 3 pescando covos,5.0,pesca,,
23,Nível 4 pescando covos,5.0,pesca,,
24,Nível 5 pescando covos,5.0,pesca,,
25,Nível 6 pescando covos,5.0,pesca,,
26,Nível 7 pescando covos,5.0,pesca,,
27,Nível 8 pescando covos,5.0,pesca,,
28,Nível 9 pescando covos,5.0,pesca,,
29,Nível 10 pescando covos,5.0,pesca,,
0,Abacaxi,30.0,cultivo,Verão,
1,Abóbora,31.0,cultivo,Outono,
2,Alcachofra,22.0,cultivo,Outono,
3,Alho,12.0,cultivo,Primavera,
4,Amaranto,21.0,cultivo,Outono,
5,Arroz não moído,7.0,cultivo,Primavera,
6,Batata,14.0,cultivo,Primavera,
7,Berinjela,12.0,cultivo,Outono,
8,Beterraba,16.0,cultivo,Outono,
9,Broccoli,13.0,cultivo,Outono,
10,Cada 1 das 1250 Chirivias coletadas,8.0,cultivo,Primavera,
11,Cada 1 das 13 Chirivias coletadas,8.0,cultivo,Primavera,
12,Cada 1 das 163 Chirivias coletadas,8.0,cultivo,Primavera,
13,Cada 1 das 1875 Chirivias coletadas,8.0,cultivo,Primavera,
14,Cada 1 das 269 Chirivias coletadas,8.0,cultivo,Primavera,
15,Cada 1 das 413 Chirivias coletadas,8.0,cultivo,Primavera,
16,Cada 1 das 48 Chirivias coletadas,8.0,cultivo,Primavera,
17,Cada 1 das 600 Chirivias coletadas,8.0,cultivo,Primavera,
18,Cada 1 das 863 Chirivias coletadas,8.0,cultivo,Primavera,
19,Cada 1 das 97 Chirivias coletadas,8.0,cultivo,Primavera,
20,Carambola,44.0,cultivo,Verão,
21,Cenoura,8.0,cultivo,Primavera,
22,Cereja de Joia Doce,64.0,cultivo,Outono,
23,Chirívia,8.0,cultivo,Primavera,
24,Couve,17.0,cultivo,Primavera,
25,Couve chinesa,14.0,cultivo,Outono,
26,Couve-flor,23.0,cultivo,Primavera,
27,Flor-Miçanga,15.0,cultivo,Verão,
28,Fruta antiga,38.0,cultivo,Outono,
29,Fruta antiga,38.0,cultivo,Primavera,
30,Fruta antiga,38.0,cultivo,Verão,
31,Fruto do cacto,14.0,cultivo,Outono,
